Operadora,Local,UF,Latitude,Longitude,2G,3G,4G,5G
TIM,Rua Coelho Neto48Carlos Guinle,RJ,22S2658,42W5819,,,SIM,
VIVO,Rua Ant�nio da Silva 300,RJ,22S2312,42W5120,,SIM,SIM,
VIVO,Rua Mato Grosso921Santa Cec�lia,RJ,22S2633,42W5842,SIM,SIM,SIM,
VIVO,Caminho Cl�udio de Souza 50,RJ,22S2701,42W5908,,SIM,SIM,
TIM,ESTRADA VALE ALPINO 0 0,RJ,22S1308,42W4750,,SIM,SIM,
TIM,ESTRADA DAS MAGNOLIAS S/N RUA B LOTE I - 4 - A6,RJ,22S2223,42W5537,SIM,SIM,SIM,
CLARO,AV PRESIDENTE ROOSEVELT 1260 BARRA DO IMBU�,RJ,22S2402,42W5840,,SIM,SIM,
CLARO,R RAIMUNDO BRITO 101 S�O PEDRO,RJ,22S2545,42W5738,,SIM,SIM,
TIM,Rua Antonio da Silva 300 Le Canton,RJ,22S2312,42W5121,,,SIM,
VIVO,Rua Carmela Dutra294Agri�es,RJ,22S2512,42W5835,,SIM,SIM,
TIM,Estrada das Magn�liasS/NAlbuquerque,RJ,22S2223,42W5536,,,SIM,
TIM,Estrada Cainga - Bairro,Alto500Prata  ,Teres�polis,22S2411,42W5729,,,SIM
TIM,Rua Mato Grosso921Santa Cec�lia,RJ,22S2632,42W5841,,,SIM,
TIM,Estrada NovaS/NJARDIM SALACO 0,RJ,22S2235,42W5905,,,SIM,
TIM,Avenida Herc�lio Ferreira dos SantosS/NCarlos Guinle,RJ,22S2710,42W5831,,,SIM,
TIM,Caminho Cl�udio de Souza50Soberbo 0,RJ,22S2701,42W5908,,,SIM,
TIM,Rua �ris42Meudon 0,RJ,22S2612,42W5706,,,SIM,
TIM,Estrada das Pimenteiras2Pimenteiras 0,RJ,22S2441,42W5850,,,SIM,
TIM,Rua Visconde de Cabo FrioS/NGolfe,RJ,22S2324,42W5922,,,SIM,
TIM,Avenida L�cio Meira194V�rzea,RJ,22S2446,42W5809,,,SIM,
TIM,CAMINHO COLINA DO MIRANTES/Nzona ruraL,RJ,22S2538,42W5818,,,SIM,
TIM,Avenida Oliveira Botelho 73 -,RJ,22S2609,42W5840,,,SIM,
TIM,Estrada Francisco Smolka1420Quebra Frascos 0,RJ,22S2430,42W5945,,,SIM,
TIM,LOTE DE TERRENO N� 1 DA QUADRA V DA GLEBA 1 DO LOTEAMENTO DENOMINADO JARDIM COMARYs/nCARLOS GUINLE,RJ,22S2701,42W5801,,,SIM,
TIM,Rua Rei Alberto277Jardim Pinheiros,RJ,22S2501,42W5747,,,SIM,
TIM,Rua Carmela Dutra294Agri�es,RJ,22S2512,42W5835,,,SIM,
TIM,Rua Ant�nio da Silva300Vargem Grande 0,RJ,22S2312,42W5120,,,SIM,
TIM,RUA PROJETADA S/N -ZONA RURAL-TERESOPOLIS,RJ,22S1803,42W5718,SIM,,SIM,
TIM,ESTRADA VENDA NOVA RIO PRETO S/N S�TIO S�O JUDAS TADEU-SEBASTIANA-TERESOPOLIS,RJ,22S1726,42W5151,SIM,,SIM,
TIM,RANCHO RUA FRANCISCO SMOLKA 1420 SITIO KOP,RJ,22S2430,42W5945,,SIM,SIM,
TIM,ESTRADA DE MOTAS S/N,RJ,22S1259,42W4548,SIM,,SIM,SIM
TIM,ESTRADA NOVA S/N  LOTE G,RJ,22S2235,42W5906,,SIM,SIM,
CLARO,RUA FRANCISCO S� 1 V�RZEA - TERES�POLIS,RJ,22S2442,42W5757,,SIM,SIM,
TIM,RODOVIA SANTOS DUMONT KM 63 PROVIDENCIA ZONA RURAL - TERESOPOLIS,RJ,22S1629,42W5540,SIM,,SIM,
CLARO,R MATO GROSSO 921 SANTA CECILIA,RJ,22S2627,42W5841,,SIM,SIM,
VIVO,RUA MANUEL ROSE S/N -,RJ,22S2230,42W5217,,SIM,SIM,
TIM,RUA TEN LUIS MEIRELES S/N,RJ,22S2513,42W5751,,,SIM,
CLARO,RUA CL�UDIO DE SOUZA 50 SOBERBO,RJ,22S2732,42W5914,,SIM,SIM,
CLARO,R OSCAR JOSE DA SILVA S/N PIMENTEIRAS,RJ,22S2441,42W5850,SIM,SIM,SIM,
CLARO,RUA DOS CANARIOS 59 CALEME,RJ,22S2356,43W0016,SIM,SIM,SIM,
TIM,RUA CANARIOS 59,RJ,22S2356,43W0016,,,SIM,
TIM,RUA AMERICO MARCOS 676 LOTEAMENTO FEO,RJ,22S2351,42W5818,,,SIM,SIM
TIM,RUA OSCAR JOSE DA SILVA,RJ,22S2440,42W5851,,,SIM,
CLARO,R EDMUNDO BITTENCOURT 101 VARZEA,RJ,22S2438,42W5757,SIM,SIM,SIM,
TIM,RUA REI ALBERTO 277,RJ,22S2501,42W5747,,,SIM,
VIVO,AVENIDA PRESIDENTE ROOSEVELT 1260 - -,RJ,22S2402,42W5840,,SIM,SIM,
TIM,RODOVIA RJ -130 KM 39 0,RJ,22S1642,42W4304,SIM,SIM,SIM,
TIM,Estrada Teres�polis-Friburgo - Km 15 0,RJ,22S1534,42W5017,SIM,SIM,SIM,
CLARO,EST FRANCISCO SMOLKA 142,RJ,22S2431,42W5947,,SIM,SIM,
CLARO,EST DO SALACO S/N,RJ,22S2235,42W5906,,SIM,SIM,
TIM,Rua Visconde De Cabo Frio S/N -,RJ,22S2359,43W0018,,,SIM,
TIM,Estrada Das Magnolias S/N -,RJ,22S2144,42W5614,,,SIM,
TIM,Caminho Cl�udio De Souza S/N -,RJ,22S2646,42W5908,,,SIM,
TIM,Avenida Presidente Roosevelt S/N -,RJ,22S2405,42W5833,,,SIM,
CLARO,EST DIOGENES PEDRO DA COSTA S/N,RJ,22S2302,42W5122,,SIM,SIM,
VIVO,ALAMEDA IRACEMA 350 �REA D -  DESMEMBRADO DO LOTE 75,RJ,22S2647,42W5906,,SIM,SIM,
TIM,R. Guandu 680 -  16� Gbm. Pimenteira - -,RJ,22S2456,42W5903,,,SIM,
TIM,Rua Ant�nio Da Silva300Vargem Grande - -,RJ,22S2312,42W5120,,,SIM,
VIVO,RUA CAN�RIO 59,RJ,22S2356,43W0017,,,SIM,
TIM,Rua IsaltinoS/NImbu� - -,RJ,22S2039,42W5209,,,SIM,
VIVO,RUA TUPI 826 0,RJ,22S2614,42W5607,,,SIM,
VIVO,RUA C�U DO IMBUI S/N,RJ,22S2256,42W5948,,,SIM,
VIVO,CAMINHO COLINA DO MIRANTES/N- - -,RJ,22S2538,42W5818,SIM,SIM,SIM,
CLARO,EST DAS TORRES DE TV S/N VILA MUQUI S/N PARTE DO S�TIO 29 DA Q. VI,RJ,22S2437,42W5829,SIM,SIM,SIM,
CLARO,RUA GON�ALO DE CASTRO 208,RJ,22S2620,42W5844,SIM,SIM,SIM,
VIVO,AVENIDA  LUCIO MEIRA194VARZEA,RJ,22S2446,42W5809,SIM,SIM,SIM,
VIVO,ESTRADA DAS PIMENTEIRAS 2 -,RJ,22S2441,42W5850,SIM,SIM,SIM,
CLARO,ROD RJ130 KM 6 ALBUQUERQUE,RJ,22S2255,42W5447,SIM,SIM,SIM,
CLARO,R COELHO NETO 36 QUADRA B GLEBA 3,RJ,22S2701,42W5819,SIM,SIM,SIM,
VIVO,AVENIDA  OLIVEIRA BOTELHO73ALTO - -,RJ,22S2609,42W5838,SIM,SIM,SIM,
CLARO,EST BORBOLETAS S/N - LOTE 187 QUADRA A PRATA,RJ,22S2309,42W5938,SIM,SIM,SIM,
VIVO,Estrada Francisco Smolka 1420 -,RJ,22S2430,42W5945,SIM,SIM,SIM,
VIVO,ESTRADA NOVA - LOTE G S/N -,RJ,22S2235,42W5905,SIM,SIM,SIM,
VIVO,RUA VISCONDE DE CABO FRIO S/N LOTE 52,RJ,22S2324,42W5923,SIM,SIM,SIM,
VIVO,RUA IRIS 42 JARDIM MEDOM,RJ,22S2613,42W5707,SIM,SIM,SIM,
VIVO,LOTE DE TERRENO N� 1 DA QUADRA V DA GLEBA 1 S/N LOTEAMENTO DENOMINADO JARDIM COMARY,RJ,22S2701,42W5801,SIM,SIM,SIM,
TIM,AVENIDA OLIVEIRA BOTELHO 87,RJ,22S2610,42W5843,SIM,SIM,SIM,SIM
TIM,RUA CARMELA DUTRA 294 (ANTIGA XINGU),RJ,22S2512,42W5835,SIM,SIM,SIM,SIM
TIM,RUA C�NDIDO PORTINARI 90 (LOTE 90),RJ,22S2334,42W5917,SIM,SIM,SIM,
TIM,ESTRADA DAS TORRES S/N PARTE DO S�TIO 29 QD VI �REA REMANESCENTE 3,RJ,22S2434,42W5825,SIM,SIM,SIM,SIM
TIM,RUA FERNANDO LUIZ FILHO 94,RJ,22S2558,42W5649,SIM,SIM,SIM,SIM
TIM,RUA MIRANTE DA COLINA S/N PROX AO NUMERO-14025,RJ,22S2537,42W5817,SIM,SIM,SIM,SIM
TIM,RUA COELHO NETO 36 Q 8 GLEBA 3,RJ,22S2701,42W5820,SIM,SIM,SIM,
CLARO,R FERNANDO LUIZ FILHO 94 MEUDOM,RJ,22S2555,42W5648,SIM,SIM,SIM,
CLARO,R DA TORRE S/N MORRO DO CEMIT�RIO,RJ,22S2412,42W5727,SIM,SIM,SIM,
CLARO,R C�NDIDO PORTINARI 90,RJ,22S2333,42W5917,SIM,SIM,SIM,
TIM,Estrada Teres�polis8095Albuquerque,RJ,22S2255,42W5447,SIM,SIM,SIM,
CLARO,AL NILO TAVARES S/N FAZENDINHA,RJ,22S2538,42W5818,SIM,SIM,SIM,
CLARO,EST DAS MAGN�LIAS S/N ALBUQUERQUE,RJ,22S2219,42W5546,SIM,SIM,SIM,
CLARO,EST JOSE MANOEL DELGADO 200 GRANJA FLORESTAL,RJ,22S2245,42W5842,SIM,SIM,SIM,
CLARO,EST RJ-130 S/N VARGEM GRANDE S/N �REA DESMEMBRADA A VENDA NOVA DENOMINADARIO PRETO,RJ,22S2044,42W5206,SIM,SIM,SIM,
CLARO,ROD RJ 130 KM 35 VIEIRA,RJ,22S1537,42W4435,SIM,SIM,SIM,
CLARO,EST BR 116 KM 6 PROVID�NCIA,RJ,22S1603,42W5545,SIM,SIM,SIM,
TIM,AVENIDA DELFIM MOREIRA 266,RJ,22S2447,42W5804,SIM,SIM,SIM,SIM
CLARO,RODOVIA RJ 130 KM 27 BONSUCESSO,RJ,22S1613,42W4749,SIM,SIM,SIM,
CLARO,ROD BR-116 S/N SOBERBO,RJ,22S2304,42W5659,SIM,SIM,SIM,
CLARO,ESTRADA ALKINDAR SOARES S/N -  LOTE 33 QUEBRA FRASCOS,RJ,22S2504,42W5956,SIM,SIM,SIM,
TIM,ESTRADA TERES�POLIS/FRIBURGOS/NBONSUCESSO,RJ,22S1610,42W4752,SIM,SIM,,
VIVO,ESTRADA DAS MAGNOLIAS-ALBUQUERQUE,RJ,22S2223,42W5536,SIM,SIM,SIM,
TIM,ESTRADA DO CAING� S/N CEMIT�RIO DO CAING�,RJ,22S2412,42W5728,SIM,SIM,SIM,
TIM,RUA MANOEL ROSA FILHOS/NVARGEM GRANDE,RJ,22S2229,42W5216,SIM,SIM,,
TIM,RODOVIA RJ130 S/NVIEIRA,RJ,22S1537,42W4435,SIM,SIM,,
VIVO,Estrada Cainga500Prata,RJ,22S2412,42W5729,SIM,SIM,SIM,
CLARO,EST DI�GENES PEDRO DA COSTA S/N LOTE 06,RJ,22S2231,42W5217,SIM,SIM,SIM,
VIVO,ESTRADA TERESOPOLIS-NOVA FRIBURGO-VALE DO BONSUCESSO,RJ,22S1627,42W4815,SIM,SIM,,
VIVO,RODOVIA RJ-130 KM 39VIEIRA,RJ,22S1642,42W4304,SIM,SIM,,
VIVO,RODOVIA  BR-116-PONTE NOVA,RJ,22S1602,42W5545,SIM,SIM,,
CLARO,R FRANCISCO S� 330 MEDIA��ES DA AV LUCIO MEIRA,RJ,22S2436,42W5806,SIM,SIM,SIM,
VIVO,RUA REI ALBERTO 277JARDIM PINHEIROS,RJ,22S2502,42W5747,SIM,SIM,SIM,
CLARO,R REI ALBERTO 277 JARDIM PINHEIROS,RJ,22S2501,42W5747,SIM,SIM,SIM,
CLARO,R CARMELA DUTRA 294 AGRI�ES,RJ,22S2513,42W5834,SIM,SIM,SIM,
CLARO,R TENENTE LUIZ MEIRELLES 1340 BOM RETIRO,RJ,22S2526,42W5747,SIM,SIM,SIM,
VIVO,ESTRADA OMAR MAGALHAES-Venda Nova,RJ,22S2110,42W5236,SIM,,,
VIVO,Avenida Herc�lio Ferreira dos Santos-Carlos Guinle,RJ,22S2710,42W5831,,SIM,SIM,
